Orthogroup	Gene_Count	Normalized_Gene_Count
OG0000630	10	0.909091
OG0000631	10	0.909091
OG0000632	10	0.909091
OG0000633	10	0.909091
OG0000634	10	0.909091
OG0000635	10	0.909091
OG0000636	10	0.909091
OG0000637	10	0.909091
OG0000638	10	0.909091
OG0000639	10	0.909091
OG0000640	10	0.909091
OG0000641	10	0.909091
OG0000642	10	0.909091
OG0000643	4	0.363636
OG0000644	10	0.909091
OG0000645	9	0.818182
OG0000646	10	0.909091
OG0000647	10	0.909091
OG0000648	10	0.909091
OG0000649	1	0.0909091
OG0000650	10	0.909091
OG0000651	10	0.909091
OG0000652	10	0.909091
OG0000653	10	0.909091
OG0000654	10	0.909091
OG0000655	10	0.909091
OG0000656	10	0.909091
OG0000657	10	0.909091
OG0000658	10	0.909091
OG0000659	10	0.909091
OG0000660	10	0.909091
OG0000661	10	0.909091
OG0000662	10	0.909091
OG0000663	10	0.909091
OG0000664	10	0.909091
OG0000665	10	0.909091
OG0000666	10	0.909091
OG0000667	7	0.636364
OG0000668	10	0.909091
OG0000669	10	0.909091
OG0000670	10	0.909091
OG0000671	10	0.909091
OG0000672	9	0.818182
OG0000673	6	0.545455
OG0000674	10	0.909091
OG0000675	10	0.909091
OG0000676	10	0.909091
OG0000677	9	0.818182
OG0000678	9	0.818182
OG0000679	10	0.909091
OG0000680	10	0.909091
OG0000681	10	0.909091
OG0000682	10	0.909091
OG0000683	10	0.909091
OG0000684	10	0.909091
OG0000685	10	0.909091
OG0000686	10	0.909091
OG0000687	10	0.909091
OG0000688	10	0.909091
OG0000689	10	0.909091
OG0000690	9	0.818182
OG0000691	10	0.909091
OG0000692	10	0.909091
OG0000693	10	0.909091
OG0000694	10	0.909091
OG0000695	10	0.909091
OG0000696	10	0.909091
OG0000697	10	0.909091
OG0000698	10	0.909091
OG0000699	10	0.909091
OG0000700	10	0.909091
OG0000701	10	0.909091
OG0000702	10	0.909091
OG0000703	10	0.909091
OG0000704	10	0.909091
OG0000705	10	0.909091
OG0000706	10	0.909091
OG0000707	10	0.909091
OG0000708	4	0.363636
OG0000709	10	0.909091
OG0000710	10	0.909091
OG0000711	10	0.909091
OG0000712	10	0.909091
OG0000713	10	0.909091
OG0000714	10	0.909091
OG0000715	9	0.818182
OG0000716	8	0.727273
OG0000717	10	0.909091
OG0000718	10	0.909091
OG0000719	9	0.818182
OG0000720	10	0.909091
OG0000721	10	0.909091
OG0000722	10	0.909091
OG0000723	10	0.909091
OG0000724	10	0.909091
OG0000725	10	0.909091
OG0000726	10	0.909091
OG0000727	10	0.909091
OG0000728	10	0.909091
OG0000729	10	0.909091
OG0000730	9	0.818182
OG0000731	10	0.909091
OG0000732	8	0.727273
OG0000733	10	0.909091
